2021-12-07 17:11:48 INFO  - Get slider current value
2021-12-07 17:11:48 INFO  - Get slider current value
2021-12-07 17:11:48 INFO  - Get slider current value
2021-12-07 17:11:48 INFO  - Get slider current value
2021-12-07 17:11:48 INFO  - Get slider current value
2021-12-07 17:11:48 INFO  - Get slider current value
2021-12-07 17:11:48 INFO  - Get slider current value
2021-12-07 17:11:48 INFO  - Get slider current value
2021-12-07 17:11:48 INFO  - Get slider current value
2021-12-07 17:11:48 INFO  - Get slider current value
2021-12-07 17:11:48 INFO  - Get slider current value
2021-12-07 17:11:48 INFO  - Get slider current value
2021-12-07 17:11:48 INFO  - Get slider current value
2021-12-07 17:17:49 INFO  - 
Opening page with URL: https://demoqa.com/
2021-12-07 17:17:52 INFO  - Click widgets button
2021-12-07 17:17:53 INFO  - Click widgets button
2021-12-07 17:18:47 INFO  - 
Opening page with URL: https://demoqa.com/
2021-12-07 17:18:50 INFO  - Click widgets button
2021-12-07 17:18:50 INFO  - Click widgets button
2021-12-07 17:18:51 INFO  - Click progress bar button
2021-12-07 17:19:15 INFO  - 
Opening page with URL: https://demoqa.com/
2021-12-07 17:19:17 INFO  - Click widgets button
2021-12-07 17:19:17 INFO  - Click widgets button
2021-12-07 17:19:19 INFO  - Click progress bar button
2021-12-07 17:30:18 INFO  - 
Opening page with URL: https://demoqa.com/
2021-12-07 17:30:20 INFO  - Click widgets button
2021-12-07 17:30:20 INFO  - Click widgets button
2021-12-07 17:30:23 INFO  - Click progress bar button
2021-12-07 17:46:47 INFO  - 
Opening page with URL: https://demoqa.com/
2021-12-07 17:46:51 INFO  - Click widgets button
2021-12-07 17:46:51 INFO  - Click widgets button
2021-12-07 17:46:53 INFO  - Click progress bar button
2021-12-07 17:46:53 INFO  - Click start button under progress bar
2021-12-07 17:46:56 INFO  - Click start button under progress bar
2021-12-07 17:50:42 INFO  - 
Opening page with URL: https://demoqa.com/
2021-12-07 17:50:45 INFO  - Click widgets button
2021-12-07 17:50:45 INFO  - Click widgets button
2021-12-07 17:50:47 INFO  - Click progress bar button
2021-12-07 17:50:47 INFO  - Click start button under progress bar
2021-12-07 17:50:50 INFO  - Click start button under progress bar
2021-12-07 17:51:37 INFO  - 
Opening page with URL: https://demoqa.com/
2021-12-07 17:51:41 INFO  - Click widgets button
2021-12-07 17:51:41 INFO  - Click widgets button
2021-12-07 17:51:42 INFO  - Click progress bar button
2021-12-07 17:51:42 INFO  - Click start button under progress bar
2021-12-07 17:51:45 INFO  - Click start button under progress bar
2021-12-07 17:52:29 INFO  - 
Opening page with URL: https://demoqa.com/
2021-12-07 17:52:32 INFO  - Click widgets button
2021-12-07 17:52:32 INFO  - Click widgets button
2021-12-07 17:52:34 INFO  - Click progress bar button
2021-12-07 17:52:34 INFO  - Click start button under progress bar
2021-12-07 17:52:37 INFO  - Click start button under progress bar
